"Year","Fitted_MeanShift"
"2015",0.173669962110396
"2016",-0.414587457448159
"2017",-1.01269555536292
"2018",-1.62042955350163
"2019",-2.237564673732
"2020",-2.86387613792178
"2021",-3.49913916793869
"2022",-4.14312898565045
"2023",-4.79562081292481
"2024",-5.45638987162949
"2025",-6.12494837996187
"2026",-6.80126598025958
"2027",-7.48580403060071
"2028",-8.17902388906337
"2029",-8.88138691372566
"2030",-9.59335446266567
"2031",-10.3153878939615
"2032",-11.0479485656912
"2033",-11.791497835933
"2034",-12.5464970627649
"2035",-13.3092612416625
"2036",-14.0767837722939
"2037",-14.8505436190258
"2038",-15.6320197462251
"2039",-16.4226911182587
"2040",-17.2240366994932
"2041",-18.0375354542955
"2042",-18.8646663470324
"2043",-19.7069083420708
"2044",-20.5657404037773
"2045",-21.445127813715
"2046",-22.3459675645749
"2047",-23.265136187416
"2048",-24.1995102132972
"2049",-25.1459661732775
"2050",-26.101380598416
"2051",-27.0626300197717
"2052",-28.0265909684034
"2053",-28.9901399753702
"2054",-29.9501535717311
"2055",-30.9151065269896
"2056",-31.8945036791643
"2057",-32.886766662087
"2058",-33.8903171095893
"2059",-34.9035766555028
"2060",-35.9249669336593
"2061",-36.9529095778905
"2062",-37.9858262220279
"2063",-39.0221384999034
"2064",-40.0602680453486
"2065",-41.104005758201
"2066",-42.1572748399947
"2067",-43.2186953771058
"2068",-44.2868874559106
"2069",-45.3604711627852
"2070",-46.4380665841059
"2071",-47.5182938062487
"2072",-48.59977291559
"2073",-49.6811239985059
"2074",-50.7609671413726
"2075",-51.8411324806442
"2076",-52.9244207917202
"2077",-54.0109081193944
"2078",-55.100670508461
"2079",-56.1937840037141
"2080",-57.2903246499475
"2081",-58.3903684919554
"2082",-59.4939915745319
"2083",-60.6012699424709
"2084",-61.7122796405664
"2085",-62.8270601287991
"2086",-63.9455759000439
"2087",-65.067790548436
"2088",-66.1936676681107
"2089",-67.3231708532034
"2090",-68.4562636978493
"2091",-69.5929097961837
"2092",-70.7330727423419
"2093",-71.8767161304593
